line_path,page_id,source_id,line_id,text,width,height,n_chars
jacobi1897__08__line_1518435437179_42.png,jacobi1897__08,jacobi1897,line_1518435437179_42,विक्रमके संवत्से ४७० बरस पहले और दिगम्बरियों,1512,98,44
jacobi1897__08__r1l46.png,jacobi1897__08,jacobi1897,r1l46,के बमूजिब ६०५ बरस पहले हुआ यह १३५ बरस,1567,98,37
jacobi1897__08__r1l48.png,jacobi1897__08,jacobi1897,r1l48,का फ़र्क़ जो दोनों आमनायवालों के बीच में पड़ा है,1521,98,48
jacobi1897__08__r1l49.png,jacobi1897__08,jacobi1897,r1l49,विक्रमके संवत् और शालिवाहन के शाके का है विक्रम,1546,101,47
jacobi1897__08__r1l50.png,jacobi1897__08,jacobi1897,r1l50,के संवत् से ४७० बरस पहले निर्वाण हुआ यह स्वे-,1531,98,45
jacobi1897__08__line_1518435418931_41.png,jacobi1897__08,jacobi1897,line_1518435418931_41,ताम्बरियों की बहुत पुस्तकों में लिखा है सब से पु-,1558,95,49
jacobi1897__08__r1l60.png,jacobi1897__08,jacobi1897,r1l60,राना प्रमाण वह है जो मेरुतुंगके विचार श्रेणी की,1560,106,47
jacobi1897__08__r1l61.png,jacobi1897__08,jacobi1897,r1l61,जड़ है और निर्वाण का संवत् राजाओं के काल से,1557,101,43
jacobi1897__08__line_1518435406324_40.png,jacobi1897__08,jacobi1897,line_1518435406324_40,निर्णय किया है ॥,545,92,16
jacobi1897__08__r1l63.png,jacobi1897__08,jacobi1897,r1l63,"""जंरयणिं काल गओ अरिहा तित्थं करो महावी-",1454,124,39
jacobi1897__09__line_1518435787448_56.png,jacobi1897__09,jacobi1897,line_1518435787448_56,(९),188,99,3
jacobi1897__09__r1l3.png,jacobi1897__09,jacobi1897,r1l3,रो तं रयणिं अवंति वई अहिसितो पालगोराया ॥ १ ॥,1555,106,44
jacobi1897__09__r1l4.png,jacobi1897__09,jacobi1897,r1l4,सट्ठी पालग रण्णोपणवण्ण सयं तु होइनं दाण,1569,99,39
jacobi1897__09__r1l6.png,jacobi1897__09,jacobi1897,r1l6,अट्ठसयं मुरियाणं तीसं चिअ पूसमित्तस्स ॥ २ ॥,1266,65,43
jacobi1897__09__line_1518435844895_57.png,jacobi1897__09,jacobi1897,line_1518435844895_57,बलमित्त भानुमित्ता सट्ठीवरिसाणि चत्तनहवहणे,1581,116,42
jacobi1897__09__r1l15.png,jacobi1897__09,jacobi1897,r1l15,तहगद्दभिल्ललारज्जं तेरसवरिसा सगस्सचौ ॥ ३ ॥,1582,107,42
jacobi1897__09__line_1518435761033_55.png,jacobi1897__09,jacobi1897,line_1518435761033_55,अर्थात् पालक अवन्ती के राजा का उस रात को रा-,1579,89,44
jacobi1897__09__r1l19.png,jacobi1897__09,jacobi1897,r1l19,ज्याभिषेक हुआ कि जिस रात को अर्हत तीर्थकर,1589,110,41
jacobi1897__09__r1l20.png,jacobi1897__09,jacobi1897,r1l20,महावीर का निर्वाण हुआ ॥ १ ॥ साठ बरस राजा,1577,96,40
jacobi1897__09__r1l22.png,jacobi1897__09,jacobi1897,r1l22,पालक के लेकिन १५५ बरस नन्दों के १०८ मौर्यों,1555,90,43
jacobi1897__09__line_1518435746870_54.png,jacobi1897__09,jacobi1897,line_1518435746870_54,के और ३० पूसमित्त अर्थात् पुष्पमित्र के ॥ २ ॥,1581,104,45
jacobi1897__09__line_1518435737996_53.png,jacobi1897__09,jacobi1897,line_1518435737996_53,६० बरस बलमित्र और भानुमित्र ने राज किया ४०,1581,110,42
jacobi1897__09__r1l30.png,jacobi1897__09,jacobi1897,r1l30,नभोवाहन ने १३ बरस इसी तरह गर्दभिल्ल का,1164,109,38
jacobi1897__09__line_1518435708330_50.png,jacobi1897__09,jacobi1897,line_1518435708330_50,राज रहा और शाका ४ है ॥ ३ ॥ यह श्लोक बहुत,1506,109,40
jacobi1897__09__line_1518435711811_51.png,jacobi1897__09,jacobi1897,line_1518435711811_51,पोथियों में लिखे हैं और पुराने जैनियों ने इसी,1379,98,45
jacobi1897__09__r1l40.png,jacobi1897__09,jacobi1897,r1l40,के अनुसार महावीर और विक्रम के संवत् ठहरा-,1556,114,41
jacobi1897__09__line_1518435692943_49.png,jacobi1897__09,jacobi1897,line_1518435692943_49,ये हैं पर इन की असल नहीं मालूम होती ४,1369,105,37
jacobi1897__09__r1l44.png,jacobi1897__09,jacobi1897,r1l44,शाके का १३ गर्दभिल्ल का ४० नभोवाहन का ६०,1574,94,40
jacobi1897__09__r1l45.png,jacobi1897__09,jacobi1897,r1l45,बलमित्र और भानुमित्र का ३० पुष्पमित्र का और,1567,114,43
jacobi1897__09__line_1518435682098_48.png,jacobi1897__09,jacobi1897,line_1518435682098_48,१०८ मौर्यों का जोड़ने से २५५ होता है और उस,1561,111,42
jacobi1897__09__line_1518435673715_47.png,jacobi1897__09,jacobi1897,line_1518435673715_47,में विक्रम के संवत् का ५७ बरस मिलाने से चन्द्रगुप्त,1572,113,51
jacobi1897__09__line_1518435658931_46.png,jacobi1897__09,jacobi1897,line_1518435658931_46,का अभिषेक ३१२ बरस सन् ईसवी से पहले,1010,94,34
jacobi1897__09__line_1518435628127_45.png,jacobi1897__09,jacobi1897,line_1518435628127_45,पास पास मिलजाने से साबित होता है कि विक्रम,1574,122,42
jacobi1897__10__line_1518436072130_62.png,jacobi1897__10,jacobi1897,line_1518436072130_62,(१०),197,95,4
jacobi1897__10__r1l2.png,jacobi1897__10,jacobi1897,r1l2,जो तीसरे श्लोक में लिखा है वही विक्रम है जिसने,1541,159,46
jacobi1897__10__r1l5.png,jacobi1897__10,jacobi1897,r1l5,सन् ईसवी से ५७ बरस पहले संवत् चलाया और,1402,106,38
jacobi1897__10__r1l6.png,jacobi1897__10,jacobi1897,r1l6,सन् ईसवी ७८ का शाका चलानेवाला शालिवाहन,1570,105,38
jacobi1897__10__r1l7.png,jacobi1897__10,jacobi1897,r1l7,ही है ६० बरस पालक के राज के और १०५ नव-,1545,116,38
jacobi1897__10__r1l10.png,jacobi1897__10,jacobi1897,r1l10,नन्दों के अर्थात् २१५ बरस चंद्रगुप्त के अभिषेक में,1548,103,50
jacobi1897__10__line_1518435983712_61.png,jacobi1897__10,jacobi1897,line_1518435983712_61,अर्थात् सन् ईसवी से पहले ३१२ में मिलाने से,1579,115,42
jacobi1897__10__r1l18.png,jacobi1897__10,jacobi1897,r1l18,महावीर का निर्वाण सन् ईसवी से ५२७ बरस पह-,1578,113,41
jacobi1897__10__r1l19.png,jacobi1897__10,jacobi1897,r1l19,ले ठहरता है सिंहल अथात् लंकावाले बुद्ध का,1585,111,41
jacobi1897__10__line_1518435975440_60.png,jacobi1897__10,jacobi1897,line_1518435975440_60,निर्वाण सन् ईसवी से ५४३ बरस पहले मानते हैं,1548,112,42
jacobi1897__10__r1l24.png,jacobi1897__10,jacobi1897,r1l24,पस कुल १६ बरस का फ़र्क रह जाता है ॥,1494,107,35
jacobi1897__10__r1l26.png,jacobi1897__10,jacobi1897,r1l26,"हेमचन्द्र अपने परिशिष्टापर्व में लिखता है ""एवं",1415,99,46
jacobi1897__10__r1l27.png,jacobi1897__10,jacobi1897,r1l27,च श्रीमहावीरे मुक्ते वर्ष शते गते । पंच पंचाशदधि-,1528,121,49
jacobi1897__10__r1l29.png,jacobi1897__10,jacobi1897,r1l29,के चंद्रगुप्तो भवन्नृपः ॥ १ ॥ ''इससे यह बात निक-,1568,109,48
jacobi1897__10__r1l30.png,jacobi1897__10,jacobi1897,r1l30,लती है कि महावीर के निर्वाण से १५५ बरस पीछे,1587,112,43
jacobi1897__10__r1l33.png,jacobi1897__10,jacobi1897,r1l33,चंद्रगुप्त का अभिषेक हुआ हेमचंद्र पालक के राज,1563,105,45
jacobi1897__10__r1l35.png,jacobi1897__10,jacobi1897,r1l35,का ६० बरस नहीं लेता इस कारन महावीर का,1583,113,37
jacobi1897__10__r1l38.png,jacobi1897__10,jacobi1897,r1l38,निर्वाण हेमचंद्र के अनुसार ४६७ बरस सन् ईसवी,1569,102,43
jacobi1897__10__r1l39.png,jacobi1897__10,jacobi1897,r1l39,से पहले पड़ता है और सिंहलवालों की भूल जो,1573,114,40
jacobi1897__10__r1l40.png,jacobi1897__10,jacobi1897,r1l40,अब सही की गई है उस के अनुसार बुद्ध का निर्वा-,1564,110,45
jacobi1897__10__line_1518435939265_59.png,jacobi1897__10,jacobi1897,line_1518435939265_59,ण भी ४७७ बरस सन् ईसवी से पहले पड़ता है,1573,117,38
jacobi1897__10__line_1518435920346_58.png,jacobi1897__10,jacobi1897,line_1518435920346_58,कि जिस से कुल १० बरस का फ़र्क रह जाता है,1538,105,40
jacobi1897__10__r1l51.png,jacobi1897__10,jacobi1897,r1l51,और यही शुद्धतर मालूम होता है ॥ इति,1385,124,34
jagannatha1955__0000a__line_1518186766703_82.png,jagannatha1955__0000a,jagannatha1955,line_1518186766703_82,श्रीः,90,99,5
jagannatha1955__0000a__line_1518186764045_81.png,jagannatha1955__0000a,jagannatha1955,line_1518186764045_81,गङ्गालहरी,631,106,9
jagannatha1955__0000a__r2l7.png,jagannatha1955__0000a,jagannatha1955,r2l7,पद्यात्मक टीका सहिता,1030,106,20
jagannatha1955__0000a__line_1518186734673_80.png,jagannatha1955__0000a,jagannatha1955,line_1518186734673_80,टीकाकार-राधेलाल त्रिवेदी,992,135,24
jagannatha1955__0000a__r2l27.png,jagannatha1955__0000a,jagannatha1955,r2l27,कविरत्न-पं० रूपनारायण पाण्डेय द्वारा संशोधित,1493,104,44
jagannatha1955__0000a__r2l29.png,jagannatha1955__0000a,jagannatha1955,r2l29,मुद्रक तथा प्रकाशक,571,98,18
jagannatha1955__0000a__r2l30.png,jagannatha1955__0000a,jagannatha1955,r2l30,"(राजा) रामकुमार-प्रेस, बुकडिपो",958,92,30
jagannatha1955__0000a__r2l31.png,jagannatha1955__0000a,jagannatha1955,r2l31,उत्तराधिकारी--नवलकिशोर-प्रेस बुकडिपो लखनऊ.,1354,104,42
jagannatha1955__0000a__r2l33.png,jagannatha1955__0000a,jagannatha1955,r2l33,सन् १९५५ ई०,436,107,11
jagannatha1955__0000a__line_1518186726237_79.png,jagannatha1955__0000a,jagannatha1955,line_1518186726237_79,मूल्य,232,100,5
jagannatha1955__0001__line_1518187030965_86.png,jagannatha1955__0001,jagannatha1955,line_1518187030965_86,गंगा-भक्तशिरोमणि,560,90,16
jagannatha1955__0001__r2l2.png,jagannatha1955__0001,jagannatha1955,r2l2,पण्डितराज जगन्नाथजी का,994,162,22
jagannatha1955__0001__line_1518187034427_87.png,jagannatha1955__0001,jagannatha1955,line_1518187034427_87,परिचय,342,106,5
jagannatha1955__0001__r2l5.png,jagannatha1955__0001,jagannatha1955,r2l5,(१),193,117,3
jagannatha1955__0001__r2l6.png,jagannatha1955__0001,jagannatha1955,r2l6,"सरस्वती के वरद पुत्र, सुन्दरता से मुखचन्द्र खिला ।",1560,148,50
jagannatha1955__0001__r2l7.png,jagannatha1955__0001,jagannatha1955,r2l7,'पण्डितराज' खिताब उन्हें था दिल्ली के दरबार मिला ॥,1543,184,50
jagannatha1955__0001__r2l8.png,jagannatha1955__0001,jagannatha1955,r2l8,"यौवन में प्रभुत्व जो पाया, तबियत भी रंगीन हुई ।",1547,164,47
jagannatha1955__0001__r2l9.png,jagannatha1955__0001,jagannatha1955,r2l9,"ब्याहा एक शाहजादी को, यही चूक संगीन हुई ॥",1576,177,41
jagannatha1955__0001__r2l10.png,jagannatha1955__0001,jagannatha1955,r2l10,(२),163,137,3
jagannatha1955__0001__r2l11.png,jagannatha1955__0001,jagannatha1955,r2l11,दुलहिन ले काशी को लौटे कहीं न कुछ सत्कार हुआ ।,1567,126,46
jagannatha1955__0001__r2l12.png,jagannatha1955__0001,jagannatha1955,r2l12,ब्राह्मणवंश सदा का त्यागी घर ही से बहिष्कार हुआ ॥,1558,169,49
jagannatha1955__0001__r2l13.png,jagannatha1955__0001,jagannatha1955,r2l13,जी भर-भर सबको समझाया प्रायश्चित पूजा कीनी ।,1532,138,43
jagannatha1955__0001__r2l14.png,jagannatha1955__0001,jagannatha1955,r2l14,पर लाये थे यवनकुमारी कोई न बात कुछ चित दीनी ॥,1559,101,45
jagannatha1955__0001__r2l15.png,jagannatha1955__0001,jagannatha1955,r2l15,(३),163,95,3
jagannatha1955__0001__r2l16.png,jagannatha1955__0001,jagannatha1955,r2l16,धर्म सनातन के थे पक्के सभी ओर देखा झगड़ा ।,1550,97,42
jagannatha1955__0001__r2l17.png,jagannatha1955__0001,jagannatha1955,r2l17,धर्ममूल श्रीगंग-चरण को आतुर होकर जा पकड़ा ॥,1561,94,43
jagannatha1955__0001__r2l18.png,jagannatha1955__0001,jagannatha1955,r2l18,पूत कपूत निकल जाता है मातु कुमातु न होती है ।,1517,93,45
jagannatha1955__0001__r2l19.png,jagannatha1955__0001,jagannatha1955,r2l19,"फँसा विपद में, फिरूँ तिरस्कृत धर्म-मातु, क्या सोती है ॥",1552,101,55
jagannatha1955__0001__r2l20.png,jagannatha1955__0001,jagannatha1955,r2l20,(४),166,100,3
jagannatha1955__0001__r2l22.png,jagannatha1955__0001,jagannatha1955,r2l22,आराधन कर देवनदी का अति प्रसन्न उनको कीना ।,1567,82,42
jagannatha1955__0001__r2l23.png,jagannatha1955__0001,jagannatha1955,r2l23,खोज-खोजकर धर्मग्रन्थ उत्तर विरोधियों को दीना ॥,1564,105,46
jagannatha1955__0001__r2l24.png,jagannatha1955__0001,jagannatha1955,r2l24,फिर भी बढ़ता देख दुराग्रह कहा न हम बोलें ज्यादे ।,1532,95,49
jagannatha1955__0001__r2l25.png,jagannatha1955__0001,jagannatha1955,r2l25,माता की किरपा हो जाये चमत्कार एक दिखला दे ॥,1559,116,43
jagannatha1955__0002__r2l1.png,jagannatha1955__0002,jagannatha1955,r2l1,[ २ ],296,142,5
jagannatha1955__0002__r2l2.png,jagannatha1955__0002,jagannatha1955,r2l2,(५),190,133,3
jagannatha1955__0002__r2l4.png,jagannatha1955__0002,jagannatha1955,r2l4,ऐंठ रहे पंडित अभिमानी अब थे आप स्वयं ऐंठे ।,1529,72,43
jagannatha1955__0002__r2l5.png,jagannatha1955__0002,jagannatha1955,r2l5,घाट पुनीत पंचगंगा के बावनवीं सीढ़ी बैठे ॥,1532,93,41
jagannatha1955__0002__r2l9.png,jagannatha1955__0002,jagannatha1955,r2l9,लिये हुए गोदी में दुलहिन 'गंगालहरी' गान किया ।,1553,82,46
jagannatha1955__0002__r2l10.png,jagannatha1955__0002,jagannatha1955,r2l10,हृदय कंठ के मधुर स्वरों ने वाद्यों का स्थान लिया ॥,1540,98,50
jagannatha1955__0002__line_1518187400594_99.png,jagannatha1955__0002,jagannatha1955,line_1518187400594_99,(९),178,80,3
jagannatha1955__0002__r2l12.png,jagannatha1955__0002,jagannatha1955,r2l12,दृढ सेवक माता के ठहरे भक्ति-लहर दम-दम बढ़ती ।,1535,99,45
jagannatha1955__0002__r2l14.png,jagannatha1955__0002,jagannatha1955,r2l14,'लहरी' का सुन एक छन्द गंगा भी इक सीढ़ी चढ़ती ॥,1531,65,46
jagannatha1955__0002__r2l15.png,jagannatha1955__0002,jagannatha1955,r2l15,बावन छन्द हुए जब पूरे बावन सीढ़ी चढ़ि आईं ।,1491,100,43
jagannatha1955__0002__r2l17.png,jagannatha1955__0002,jagannatha1955,r2l17,दोनों को ले गोदी चूमा हाथ फेर अति हरषाईं ॥,1558,97,42
jagannatha1955__0002__line_1518187403860_100.png,jagannatha1955__0002,jagannatha1955,line_1518187403860_100,(७),189,78,3
jagannatha1955__0002__r2l19.png,jagannatha1955__0002,jagannatha1955,r2l19,बोलीं यह मेरी लीला थी तुझको इतना कष्ट मिला ।,1530,102,44
jagannatha1955__0002__r2l20.png,jagannatha1955__0002,jagannatha1955,r2l20,मुझको दिखलाना जग को था जाग्रत् मेरी सदा कला ॥,1558,94,45
jagannatha1955__0002__r2l21.png,jagannatha1955__0002,jagannatha1955,r2l21,स्रोत सभी शुभ कर्मों की हूँ तूने तो हैं बहुत किये ।,1526,98,51
jagannatha1955__0002__r2l22.png,jagannatha1955__0002,jagannatha1955,r2l22,आशिष मेरी नित रहती है धर्म सनातन सदा जिये ॥,1573,98,43
jagannatha1955__0002__line_1518187406969_101.png,jagannatha1955__0002,jagannatha1955,line_1518187406969_101,(८),171,81,3
jagannatha1955__0002__r2l24.png,jagannatha1955__0002,jagannatha1955,r2l24,तू सच्चा है भक्त वत्स अब अमर लोक को जायेगा ।,1529,101,44
jagannatha1955__0002__r2l25.png,jagannatha1955__0002,jagannatha1955,r2l25,भाग्यवती वर बधू सहित अतिशय आनन्द मनायेगा ॥,1554,99,42
jagannatha1955__0002__r2l26.png,jagannatha1955__0002,jagannatha1955,r2l26,अरु वे नर जिनको लीलावश तव निन्दा का पाप लगा ।,1536,97,45
jagannatha1955__0002__r2l27.png,jagannatha1955__0002,jagannatha1955,r2l27,तर जायेंगे न्हाइ न्हाइ धर ध्यान सदा मेरा सुभगा ॥,1545,95,48
jagannatha1955__0002__line_1518187410995_102.png,jagannatha1955__0002,jagannatha1955,line_1518187410995_102,(९),170,72,3
jagannatha1955__0002__r2l29.png,jagannatha1955__0002,jagannatha1955,r2l29,गंगभक्ति से जगन्नाथ यों प्रस्तुत किये प्रमाण नये ।,1538,104,50
jagannatha1955__0002__r2l30.png,jagannatha1955__0002,jagannatha1955,r2l30,स्तोत्रश्रेष्ठ गंगालहरी का छोटों के हित छोड़ गये ॥,1556,94,50
jagannatha1955__0002__r2l31.png,jagannatha1955__0002,jagannatha1955,r2l31,गा गाथा गंगाभक्तों की आनन्दों की मिसरी घोलो ।,1523,96,45
jagannatha1955__0002__r2l32.png,jagannatha1955__0002,jagannatha1955,r2l32,राधेलाल प्रेम से मन से गंगाजी की जय बोलो ॥,1552,104,42
jagannatha1955__0002__r2l33.png,jagannatha1955__0002,jagannatha1955,r2l33,बोलो श्रीगंगाजी की जय,667,88,21
jagannatha1955__0002__line_1518187372159_98.png,jagannatha1955__0002,jagannatha1955,line_1518187372159_98,"गंगे, हर, हर, हर ।",513,88,18
jagannatha1955__001__r2l1.png,jagannatha1955__001,jagannatha1955,r2l1,टीकाकार की विनय,751,178,15
jagannatha1955__001__line_1518186978343_85.png,jagannatha1955__001,jagannatha1955,line_1518186978343_85,(१),179,90,3
jagannatha1955__001__r2l4.png,jagannatha1955__001,jagannatha1955,r2l4,करि प्रणाम श्रीजगन्नाथ को चरणचिह्न उनके पाये ।,1451,136,46
jagannatha1955__001__r2l6.png,jagannatha1955__001,jagannatha1955,r2l6,मूल सहारा ले तिनका ही भाषा छन्द स्वयं गाये ॥,1510,123,44
jagannatha1955__001__r2l7.png,jagannatha1955__001,jagannatha1955,r2l7,राधेलाल त्रिवेदी ने जब गंगाजी का ध्यान धरा ।,1499,140,44
jagannatha1955__001__r2l9.png,jagannatha1955__001,jagannatha1955,r2l9,हुआ अनुग्रह तरनतारिनी चर्मरोग घनघोर हरा ॥,1494,83,41
jagannatha1955__001__line_1518186948265_84.png,jagannatha1955__001,jagannatha1955,line_1518186948265_84,(२),195,90,3
jagannatha1955__001__r2l11.png,jagannatha1955__001,jagannatha1955,r2l11,काम आयो बैद ना हकीम कोऊ डाक्टर,1268,144,30
jagannatha1955__001__r2l12.png,jagannatha1955__001,jagannatha1955,r2l12,सात आठ वर्ष बीते झेलते मुसीबतें,1225,122,31
jagannatha1955__001__r2l13.png,jagannatha1955__001,jagannatha1955,r2l13,"जाबे जोग कहूँ नाहिं, घृणा दृष्टि देखे जाहिं",1237,122,43
jagannatha1955__001__r2l14.png,jagannatha1955__001,jagannatha1955,r2l14,छाँड़ि गंगतीर ठौर कोऊ ना सुनावतें ॥,1244,128,35
jagannatha1955__001__r2l15.png,jagannatha1955__001,jagannatha1955,r2l15,पैसा हूँ गँवायो अरु हाथ पाँय तोरे तोऊ,1288,108,37
jagannatha1955__001__r2l16.png,jagannatha1955__001,jagannatha1955,r2l16,चर्मरोग बाढ़्यो सुनी कैसी का कहावतें ।,1246,129,38
jagannatha1955__001__r2l17.png,jagannatha1955__001,jagannatha1955,r2l17,"धन्य है उदार, गंगधार, पापी तार तोहिं",1280,122,36
jagannatha1955__001__r2l18.png,jagannatha1955__001,jagannatha1955,r2l18,कर गहि खैंच्यो दुःख-सागर के डूबतें ॥,1271,141,36
jagannatha1955__001__line_1518186922206_83.png,jagannatha1955__001,jagannatha1955,line_1518186922206_83,(३),186,95,3
jagannatha1955__001__r2l20.png,jagannatha1955__001,jagannatha1955,r2l20,"कलि काल के बीच प्रतच्छ है मात,",1109,148,30
jagannatha1955__001__r2l21.png,jagannatha1955__001,jagannatha1955,r2l21,जो नीच कपूत को आदर देति है ।,1088,140,28
jagannatha1955__002__r1l1.png,jagannatha1955__002,jagannatha1955,r1l1,(२),238,162,3
jagannatha1955__002__r1l2.png,jagannatha1955__002,jagannatha1955,r1l2,जन देखि दुखी शरणागत पूत,1094,148,23
jagannatha1955__002__r1l3.png,jagannatha1955__002,jagannatha1955,r1l3,बनाय के निर्मल गोद में लेति है ॥,1111,156,32
jagannatha1955__002__line_1518187321194_97.png,jagannatha1955__002,jagannatha1955,line_1518187321194_97,सब हारे बखानत हैं महिमा,1107,188,23
jagannatha1955__002__r1l7.png,jagannatha1955__002,jagannatha1955,r1l7,सभी शास्त्र पुराण कहैं नित नेति है ।,1027,147,36
jagannatha1955__002__r1l10.png,jagannatha1955__002,jagannatha1955,r1l10,तुम दीन्यो है दास-सररि सुधारि,903,180,29
jagannatha1955__002__r1l11.png,jagannatha1955__002,jagannatha1955,r1l11,बताओ तो प्रेम कबै चित चेति है ॥,1099,155,31
jagannatha1955__002__r1l12.png,jagannatha1955__002,jagannatha1955,r1l12,(४),191,130,3
jagannatha1955__002__r1l14.png,jagannatha1955__002,jagannatha1955,r1l14,गंगे को ध्यान है मुख्य सदा,916,146,26
jagannatha1955__002__r1l15.png,jagannatha1955__002,jagannatha1955,r1l15,नित भागीरथी उठि प्रात मनाऊँ ।,1072,125,29
jagannatha1955__002__r1l17.png,jagannatha1955__002,jagannatha1955,r1l17,"खान में, पान में, पूजन में",887,114,26
jagannatha1955__002__r1l18.png,jagannatha1955__002,jagannatha1955,r1l18,बस देवनदी के सदा गुन गाऊँ ॥,1090,125,27
jagannatha1955__002__line_1518187282045_96.png,jagannatha1955__002,jagannatha1955,line_1518187282045_96,दीन्हे हैं मेरे दरिद्र मिटा,1081,115,27
jagannatha1955__002__line_1518187270777_95.png,jagannatha1955__002,jagannatha1955,line_1518187270777_95,अब छाँड़ि के मातु कहाँ तोहि जाऊँ ।,1051,124,34
jagannatha1955__002__line_1661420719858_351.png,jagannatha1955__002,jagannatha1955,line_1661420719858_351,है बिनती कर जोरि यही,1210,122,20
jagannatha1955__002__r1l29.png,jagannatha1955__002,jagannatha1955,r1l29,प्रिय दर्शन तेरे बिना श्रम पाऊँ ॥,1012,127,33
jagannatha1955__002__line_1518187248390_93.png,jagannatha1955__002,jagannatha1955,line_1518187248390_93,(५),183,102,3
jagannatha1955__002__r1l33.png,jagannatha1955__002,jagannatha1955,r1l33,श्री गंगाजी की जय बोलो बस काम यही है चंगा ।,1459,154,43
jagannatha1955__002__r1l34.png,jagannatha1955__002,jagannatha1955,r1l34,"भोले को दिन रात मनाओ, हृदय नहाकर गंगा ॥ १ ॥",1654,181,43
jagannatha1955__002__r1l35.png,jagannatha1955__002,jagannatha1955,r1l35,"गंगा तट पर बास करूँ मैं, गोता रोज लगाऊँ ।",1430,190,41
jagannatha1955__002__r1l37.png,jagannatha1955__002,jagannatha1955,r1l37,"तृष्णा से हो रहित सदा शिव, पूजा भेंट चढ़ाऊँ ॥ २ ॥",1651,130,49
jagannatha1955__003__r2l1.png,jagannatha1955__003,jagannatha1955,r2l1,[ ३ ],289,160,5
jagannatha1955__003__r2l2.png,jagannatha1955__003,jagannatha1955,r2l2,"अन्त समय में दर्शन करता, गंगा नाम पुकारूँ ।",1547,138,43
jagannatha1955__003__r2l3.png,jagannatha1955__003,jagannatha1955,r2l3,पापहरण गंगाजल पीकर अन्तिम बुद्धि सुधारूँ ॥ ३ ॥,1685,150,46
jagannatha1955__003__r2l4.png,jagannatha1955__003,jagannatha1955,r2l4,"गंगाजल का एकमात्र कण, सारे पाप मिटाता ।",1487,172,39
jagannatha1955__003__r2l5.png,jagannatha1955__003,jagannatha1955,r2l5,"पापनाशिनी की महिमा को, रे मन, तू क्या गाता ॥ ४ ॥",1670,127,48
jagannatha1955__003__r2l6.png,jagannatha1955__003,jagannatha1955,r2l6,"अहो ईश्वरी त्रिभुवन माता, बचा नरक से लीजै ।",1460,113,43
jagannatha1955__003__r2l7.png,jagannatha1955__003,jagannatha1955,r2l7,"पापभार के दूर हटा, बैकुण्ठ बास ही दीजै ॥ ५ ॥",1666,132,44
jagannatha1955__003__r2l8.png,jagannatha1955__003,jagannatha1955,r2l8,"महायात्रा के उत्सव में, भक्ती भाव जगाना ।",1475,113,41
jagannatha1955__003__r2l9.png,jagannatha1955__003,jagannatha1955,r2l9,"श्री गंगाजी की जय बोलो, रोम रोम से गाना ॥ ६ ॥",1659,125,45
jagannatha1955__003__r2l10.png,jagannatha1955__003,jagannatha1955,r2l10,"बाग बनारस लखनपुरी में, गंगे भाव जगाया ।",1463,115,39
jagannatha1955__003__r2l11.png,jagannatha1955__003,jagannatha1955,r2l11,"राधेलाल त्रिवेदी ने, अनुवाद किया मन भाया ॥ ७ ॥",1666,121,46
jagannatha1955__003__r2l12.png,jagannatha1955__003,jagannatha1955,r2l12,"दो सहस्र नौ सम्बत में, उल्लास भरी होली आई ।",1457,122,43
jagannatha1955__003__r2l13.png,jagannatha1955__003,jagannatha1955,r2l13,"पूर्ण किया यह लेख भेंट को, जय बोलो गंगे माई ॥ ८ ॥",1610,143,49
jagannatha1955__003__r2l14.png,jagannatha1955__003,jagannatha1955,r2l14,"मातु गंगे, हर, हर, हर",616,156,21
jagannatha1955__004__r2l1.png,jagannatha1955__004,jagannatha1955,r2l1,आवश्यक सूचना,628,196,12
jagannatha1955__004__r2l2.png,jagannatha1955__004,jagannatha1955,r2l2,पंडित राधेलाल त्रिवेदी भूतपूर्व इन्सपेक्टर शॉर्टहैंड रिपोर्टर,1549,139,61
jagannatha1955__004__r2l3.png,jagannatha1955__004,jagannatha1955,r2l3,की अन्य निम्नाङ्कित पुस्तकें भी हमारे यहाँ मिलती हैं:--,1537,114,55
jagannatha1955__004__r2l4.png,jagannatha1955__004,jagannatha1955,r2l4,"१ - कीर्तनमाहात्म्य --- इसमें राम नाम माहात्म्य,",1459,123,48
jagannatha1955__004__r2l5.png,jagannatha1955__004,jagannatha1955,r2l5,"एकादश प्रश्न और उनके उतर, श्रीराम न क्यों फिर मिल",1660,120,49
jagannatha1955__004__r2l6.png,jagannatha1955__004,jagannatha1955,r2l6,जायँ ? नाम जाप श्रीराम बाण औषधि है आदि अनेक,1675,125,43
jagannatha1955__004__r2l7.png,jagannatha1955__004,jagannatha1955,r2l7,भक्तिभाव पूर्ण कविताएँ बड़ी मनोहर हैं । मूल्य,1654,111,45
jagannatha1955__004__r2l8.png,jagannatha1955__004,jagannatha1955,r2l8,२ --- अमृत गुटका --- इसमें बंसीधर की घर घर में,1520,127,46
jagannatha1955__004__r2l9.png,jagannatha1955__004,jagannatha1955,r2l9,"रासलीला, गीतासार, हरिस्थापना, गुरु उपदेश, त्रिवेणी-",1678,121,51
jagannatha1955__004__r2l10.png,jagannatha1955__004,jagannatha1955,r2l10,"स्नान, बेलौन भवानी, शिवदर्शन, और शिवाष्टक शीर्षक",1672,158,48
jagannatha1955__004__r2l11.png,jagannatha1955__004,jagannatha1955,r2l11,बड़ी ही आनन्ददायिनी कविताएँ हैं । मूल्य,1336,181,39
